iter	Passed	Remaining
0	1	138
1	2	118
2	3	118
3	4	106
4	5	101
5	6	97
6	7	94
7	8	93
8	9	96
9	11	101
10	12	98
11	13	95
12	13	93
13	14	91
14	15	88
15	16	86
16	17	84
17	17	81
18	18	79
19	19	77
20	20	75
21	21	74
22	22	73
23	22	71
24	23	71
25	24	71
26	25	69
27	26	69
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	31	61
34	32	60
35	33	59
36	34	58
37	35	58
38	36	57
39	37	55
40	38	54
41	38	53
42	39	52
43	40	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	47	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	57	33
63	59	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	77	13
85	78	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	85	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
