iter	Passed	Remaining
0	138	137981
1	138	69342
2	139	46399
3	140	34969
4	141	28096
5	141	23513
6	142	20232
7	143	17779
8	144	15872
9	145	14385
10	146	13156
11	147	12132
12	148	11240
13	149	10495
14	149	9840
15	150	9262
16	151	8761
17	152	8308
18	152	7896
19	153	7524
20	154	7193
21	154	6883
22	156	6626
23	157	6385
24	157	6160
25	158	5942
26	159	5745
27	160	5568
28	161	5396
29	161	5235
30	162	5082
31	163	4947
32	164	4824
33	165	4705
34	166	4589
35	167	4478
36	168	4374
37	168	4273
38	169	4176
39	170	4084
40	171	4012
41	172	3941
42	173	3866
43	174	3795
44	175	3732
45	176	3667
46	177	3601
47	178	3539
48	179	3478
49	179	3418
50	180	3360
51	181	3304
52	181	3249
53	182	3196
54	183	3146
55	183	3097
56	184	3051
57	185	3007
58	186	2968
59	187	2930
60	187	2893
61	188	2858
62	189	2824
63	190	2790
64	191	2760
65	192	2729
66	193	2699
67	194	2666
68	195	2634
69	195	2603
70	196	2573
71	197	2546
72	198	2526
73	200	2505
74	201	2480
75	202	2458
76	203	2434
77	204	2412
78	204	2389
79	206	2370
80	207	2350
81	207	2328
82	208	2303
83	209	2283
84	210	2262
85	211	2242
86	211	2223
87	212	2203
88	213	2184
89	214	2167
90	215	2151
91	216	2140
92	217	2123
93	218	2107
94	219	2090
95	220	2072
96	220	2055
97	221	2040
98	222	2024
99	223	2008
100	223	1992
101	224	1976
102	225	1962
103	226	1947
104	226	1931
105	227	1917
106	228	1904
107	228	1890
108	229	1876
109	230	1864
110	231	1850
111	231	1837
112	232	1824
113	233	1811
114	233	1799
115	234	1789
116	235	1777
117	236	1765
118	237	1754
119	237	1743
120	238	1732
121	238	1719
122	239	1708
123	240	1699
124	241	1689
125	242	1682
126	243	1674
127	244	1666
128	245	1659
129	246	1649
130	248	1645
131	249	1637
132	249	1628
133	251	1622
134	252	1615
135	253	1608
136	254	1601
137	255	1594
138	256	1588
139	257	1582
140	258	1575
141	259	1567
142	260	1562
143	261	1555
144	262	1548
145	263	1541
146	264	1535
147	265	1528
148	266	1521
149	267	1515
150	268	1508
151	269	1501
152	270	1495
153	271	1488
154	272	1483
155	273	1478
156	274	1471
157	275	1468
158	276	1464
159	277	1458
160	278	1450
161	279	1443
162	279	1437
163	280	1431
164	281	1425
165	282	1420
166	283	1415
167	285	1412
168	286	1409
169	287	1404
170	289	1401
171	290	1397
172	291	1393
173	292	1389
174	293	1385
175	294	1379
176	295	1374
177	296	1368
178	297	1362
179	297	1356
180	298	1351
181	299	1345
182	300	1339
183	300	1333
184	301	1328
185	302	1322
186	302	1316
187	303	1311
188	304	1306
189	305	1301
190	305	1295
191	306	1290
192	307	1285
193	308	1280
194	309	1275
195	309	1270
196	310	1266
197	311	1261
198	312	1257
199	313	1254
200	314	1250
201	315	1247
202	316	1244
203	317	1240
204	318	1235
205	319	1232
206	320	1228
207	321	1224
208	322	1221
209	323	1217
210	324	1213
211	325	1209
212	326	1205
213	327	1201
214	328	1198
215	329	1194
216	330	1190
217	330	1186
218	331	1182
219	332	1178
220	333	1174
221	334	1172
222	335	1169
223	336	1166
224	338	1164
225	338	1160
226	339	1157
227	340	1154
228	341	1151
229	343	1148
230	344	1145
231	345	1142
232	346	1140
233	347	1137
234	348	1133
235	349	1131
236	350	1128
237	351	1125
238	352	1122
239	353	1120
240	354	1117
241	355	1114
242	357	1112
243	357	1108
244	358	1104
245	359	1101
246	360	1098
247	361	1095
248	362	1092
249	362	1088
250	363	1085
251	364	1081
252	365	1079
253	367	1078
254	368	1076
255	369	1073
256	370	1070
257	370	1066
258	371	1062
259	372	1059
260	373	1058
261	374	1055
262	375	1053
263	377	1051
264	378	1048
265	378	1045
266	379	1042
267	381	1040
268	382	1038
269	383	1035
270	383	1032
271	384	1029
272	385	1026
273	386	1023
274	386	1020
275	387	1016
276	388	1013
277	388	1010
278	389	1007
279	390	1004
280	391	1002
281	393	1001
282	395	1000
283	396	999
284	397	998
285	399	996
286	400	994
287	401	992
288	402	990
289	403	988
290	404	985
291	405	982
292	405	979
293	406	976
294	407	973
295	408	970
296	409	969
297	410	966
298	411	964
299	412	961
300	412	958
301	413	956
302	414	953
303	415	951
304	416	948
305	417	946
306	418	944
307	419	941
308	420	939
309	421	937
310	422	935
311	423	932
312	423	930
313	425	928
314	425	926
315	426	923
316	427	920
317	427	917
318	428	914
319	429	912
320	429	909
321	430	907
322	431	904
323	432	902
324	433	899
325	434	897
326	434	894
327	435	892
328	436	889
329	437	887
330	437	884
331	438	882
332	439	880
333	440	878
334	442	877
335	443	877
336	444	875
337	445	873
338	446	871
339	448	869
340	449	868
341	450	866
342	451	865
343	452	863
344	453	860
345	454	858
346	455	856
347	456	854
348	456	852
349	457	849
350	458	847
351	459	845
352	459	843
353	460	840
354	461	838
355	462	835
